"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 04:52:00 UTC 2023","Mon Oct 23 04:52:12 UTC 2023","12518","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Oct 23 04:20:42 UTC 2023","Mon Oct 23 04:20:49 UTC 2023","6995","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Oct 23 02:21:47 UTC 2023","Mon Oct 23 02:21:57 UTC 2023","10235","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Oct 23 02:35:12 UTC 2023","Mon Oct 23 02:35:20 UTC 2023","7770","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Oct 23 02:39:57 UTC 2023","Mon Oct 23 02:40:17 UTC 2023","20681","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Oct 23 04:26:33 UTC 2023","Mon Oct 23 04:26:37 UTC 2023","3698","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Oct 23 02:53:56 UTC 2023","Mon Oct 23 02:53:59 UTC 2023","3151","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Oct 23 02:31:55 UTC 2023","Mon Oct 23 02:31:55 UTC 2023","191","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Oct 23 03:17:26 UTC 2023","Mon Oct 23 03:17:27 UTC 2023","1098","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Oct 23 03:10:55 UTC 2023","Mon Oct 23 03:10:59 UTC 2023","3420","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Oct 23 03:49:00 UTC 2023","Mon Oct 23 03:49:02 UTC 2023","2091","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
